,date,code,pcs_m,quantity,location,loc_date
,2022-03-20,G30,,37,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G10,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G7,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G21,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G35,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G83,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G33,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G126,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G67,,6,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G137,,4,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G32,,2,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G25,,3,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G23,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G177,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G98,,1,cordovacreek,"('cordovacreek', '2022-03-20')"
,2022-03-20,G205,,,cordovacreek,"('cordovacreek', '2022-03-20')"
