,date,code,,quantity,cordovacreek,loc_date
,2022-01-06,G200,,22,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G134,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G27,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G83,,8,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G158,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G80,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G30,,18,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G68,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G28,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G32,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G199,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G137,,4,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G67,,4,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G198,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G7,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G33,,5,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G41,,3,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G60,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G80,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G32,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G175,,3,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G35,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G30,,4,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G59,,10,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G92,,2,cordovacreek,"('cordovacreek', '2022-01-06')"
,2022-01-06,G80,,1,cordovacreek,"('cordovacreek', '2022-01-06')"
